Edu_Level,Family_Status,Annual_Income,Kids_Count,Teens_Count,Last_Visit,Spent_Wines,Spent_Fruits,Spent_Meat,Spent_Fish,Spent_Sweets,Spent_Gold,Promo_Purchases,Web_Orders,Catalog_Orders,Store_Orders,Web_Visits,Campaign_1,Campaign_2,Campaign_3,Campaign_4,Campaign_5,Complaint_Flag,Contact_Cost,Total_Revenue,Next_Purchase,Reg_Days_Since,Age
2,4,-0.47104221049362094,0,1,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,3,11,0,0.8940922247451316,1.319454353780741
2,6,-0.17815906333569695,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,1.1425326476525255,0.7359521181706438
1,3,-1.5037579344229837,0,0,40,2,7,11,16,12,27,1,2,0,4,6,0,0,0,0,0,0,3,11,0,0.6555894187540336,-0.2643374285895229
2,5,0.9512804159822393,0,0,91,736,63,946,219,189,126,1,4,7,11,2,0,0,1,1,0,0,3,11,0,-0.18413921067295727,-0.014265041899481263
2,5,0.5009902634073151,0,2,34,743,19,181,12,0,200,2,7,6,11,5,1,0,0,0,0,0,3,11,0,-0.07482542459370402,0.9026670426306715
2,5,0.060054135124337556,0,1,21,620,16,165,0,24,82,5,5,5,12,5,0,0,0,0,0,0,3,11,0,0.15870857293924612,0.9026670426306715
3,5,0.8121491302953028,0,0,86,741,19,154,50,9,28,1,3,4,7,2,0,0,0,0,0,0,3,11,0,-0.8400219271484768,0.7359521181706438
2,3,0.7335438841444912,0,1,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,3,11,0,-0.7953026510251459,0.9860245048606855
2,4,-1.1909090547427534,0,0,16,15,5,14,0,4,11,1,1,0,3,7,0,0,0,0,0,0,3,11,0,-1.3766532406284473,-1.1812695131196758
2,3,-1.1791182678201317,1,0,86,3,1,8,23,2,18,3,2,1,3,3,0,0,0,0,0,0,3,11,0,-1.1480880515536451,-1.0979120508896618
0,3,1.0237544529332876,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,-0.7158017156947799,1.4861692782407687
4,3,1.3414375552517925,0,0,72,532,21,127,26,20,20,0,4,2,5,1,0,0,1,0,0,0,3,11,0,0.6605582272121815,-1.1812695131196758
2,5,-1.2106782741496827,1,0,75,14,0,23,4,5,19,3,3,0,3,9,0,0,0,0,0,0,3,11,1,1.5400373243043555,-0.8478396641996202
4,2,-0.38850670203526877,0,1,28,324,48,186,39,18,198,6,6,8,4,7,1,0,0,0,0,0,3,11,1,0.9388115008684625,0.06909242033053263
2,3,0.5889102312269979,0,2,51,615,28,259,12,48,30,4,6,5,13,4,0,1,0,0,0,0,3,11,0,-0.03010614847037314,1.402811816010755
3,2,-0.2381348661487662,0,1,56,95,14,64,2,9,38,1,4,2,3,7,0,0,0,0,0,0,3,11,0,-1.4859670267077005,1.1527394293207132
2,2,-0.3215743349378527,1,1,48,183,5,65,3,5,49,5,5,2,4,9,0,0,0,0,0,0,3,11,0,0.6704958441284773,-0.09762250412949515
2,3,0.9991117082650082,0,1,93,1017,50,500,65,50,133,3,5,5,5,8,0,1,0,1,0,0,3,11,1,1.5996630258021298,0.15244988256054653
2,4,-0.9306863873604917,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,3,11,0,1.0133436277406807,-0.6811247397395924
2,4,0.14911387901320708,1,2,26,347,0,35,4,3,7,6,4,2,8,5,0,0,0,0,0,0,3,11,0,-0.8598971609810683,-0.5144098152795646
